quarter,region,house_type,avg_sqm_price_real,n_transactions,cumulative_max,drawdown_pct
2018Q2,Jutland,Townhouse,23754.3,818,32009.5,-25.79
2018Q3,Jutland,Townhouse,23900.1,762,32009.5,-25.33
2018Q4,Jutland,Townhouse,21282.4,766,32009.5,-33.51
2019Q1,Jutland,Townhouse,23841.9,762,32009.5,-25.52
2019Q2,Jutland,Townhouse,21165.4,937,32009.5,-33.88
2019Q3,Jutland,Townhouse,24264.3,961,32009.5,-24.2
2019Q4,Jutland,Townhouse,22891.8,893,32009.5,-28.48
2020Q1,Jutland,Townhouse,23712.1,1024,32009.5,-25.92
2020Q2,Jutland,Townhouse,20899.3,972,32009.5,-34.71
2020Q3,Jutland,Townhouse,24341.6,1165,32009.5,-23.96
2020Q4,Jutland,Townhouse,26652.9,1411,32009.5,-16.73
2021Q1,Jutland,Townhouse,25848.9,1498,32009.5,-19.25
2021Q2,Jutland,Townhouse,24703.7,1424,32009.5,-22.82
2021Q3,Jutland,Townhouse,22591.8,1072,32009.5,-29.42
2021Q4,Jutland,Townhouse,26226.3,1067,32009.5,-18.07
2022Q1,Jutland,Townhouse,22261.7,1028,32009.5,-30.45
2022Q2,Jutland,Townhouse,22455.7,978,32009.5,-29.85
2022Q3,Jutland,Townhouse,19494.5,701,32009.5,-39.1
2022Q4,Jutland,Townhouse,22285.1,613,32009.5,-30.38
2023Q1,Jutland,Townhouse,20837.9,741,32009.5,-34.9
2023Q2,Jutland,Townhouse,20405.7,860,32009.5,-36.25
2023Q3,Jutland,Townhouse,19031.8,596,32009.5,-40.54
2023Q4,Jutland,Townhouse,20045.8,751,32009.5,-37.38
2024Q1,Jutland,Townhouse,20197.4,770,32009.5,-36.9
2024Q2,Jutland,Townhouse,19945.6,809,32009.5,-37.69
2024Q3,Jutland,Townhouse,18974.9,633,32009.5,-40.72
2024Q4,Jutland,Townhouse,12842.3,44,32009.5,-59.88
1992Q1,Jutland,Villa,7616.0,1189,7616.0,0.0
1992Q2,Jutland,Villa,7552.2,1262,7616.0,-0.84
1992Q3,Jutland,Villa,7528.4,1198,7616.0,-1.15
1992Q4,Jutland,Villa,7498.0,983,7616.0,-1.55
1993Q1,Jutland,Villa,7422.4,1016,7616.0,-2.54
1993Q2,Jutland,Villa,7564.0,1268,7616.0,-0.68
1993Q3,Jutland,Villa,7919.1,1561,7919.1,0.0
1993Q4,Jutland,Villa,7909.8,1404,7919.1,-0.12
1994Q1,Jutland,Villa,7835.9,1487,7919.1,-1.05
1994Q2,Jutland,Villa,8183.0,1835,8183.0,0.0
1994Q3,Jutland,Villa,8058.8,1419,8183.0,-1.52
1994Q4,Jutland,Villa,8171.9,1364,8183.0,-0.14
1995Q1,Jutland,Villa,8312.7,1614,8312.7,0.0
1995Q2,Jutland,Villa,8024.6,1875,8312.7,-3.47
1995Q3,Jutland,Villa,8194.2,1722,8312.7,-1.43
1995Q4,Jutland,Villa,8402.5,1605,8402.5,0.0
1996Q1,Jutland,Villa,8218.6,1569,8402.5,-2.19
1996Q2,Jutland,Villa,8568.1,2030,8568.1,0.0
1996Q3,Jutland,Villa,8376.9,1786,8568.1,-2.23
1996Q4,Jutland,Villa,8621.9,1724,8621.9,0.0
1997Q1,Jutland,Villa,8722.0,1809,8722.0,0.0
1997Q2,Jutland,Villa,9305.0,2229,9305.0,0.0
1997Q3,Jutland,Villa,8976.8,1951,9305.0,-3.53
1997Q4,Jutland,Villa,9141.1,1740,9305.0,-1.76
1998Q1,Jutland,Villa,9221.3,2055,9305.0,-0.9
1998Q2,Jutland,Villa,9381.8,2432,9381.8,0.0
1998Q3,Jutland,Villa,9306.0,1873,9381.8,-0.81
1998Q4,Jutland,Villa,9571.8,1636,9571.8,0.0
1999Q1,Jutland,Villa,9577.1,1901,9577.1,0.0
1999Q2,Jutland,Villa,9629.1,2360,9629.1,0.0
1999Q3,Jutland,Villa,9803.0,2135,9803.0,0.0
1999Q4,Jutland,Villa,9565.7,1697,9803.0,-2.42
2000Q1,Jutland,Villa,9786.6,1860,9803.0,-0.17
2000Q2,Jutland,Villa,9636.7,2252,9803.0,-1.7
2000Q3,Jutland,Villa,9751.1,2028,9803.0,-0.53
2000Q4,Jutland,Villa,9781.7,1709,9803.0,-0.22
2001Q1,Jutland,Villa,9857.0,1910,9857.0,0.0
2001Q2,Jutland,Villa,9817.3,2246,9857.0,-0.4
2001Q3,Jutland,Villa,9852.8,2058,9857.0,-0.04
2001Q4,Jutland,Villa,9776.1,1804,9857.0,-0.82
2002Q1,Jutland,Villa,9583.8,1978,9857.0,-2.77
2002Q2,Jutland,Villa,9643.8,2534,9857.0,-2.16
2002Q3,Jutland,Villa,9641.7,2205,9857.0,-2.18
2002Q4,Jutland,Villa,9643.4,2001,9857.0,-2.17
2003Q1,Jutland,Villa,9680.8,2158,9857.0,-1.79
2003Q2,Jutland,Villa,9967.9,2533,9967.9,0.0
2003Q3,Jutland,Villa,9906.1,2545,9967.9,-0.62
2003Q4,Jutland,Villa,9858.6,2263,9967.9,-1.1
2004Q1,Jutland,Villa,9790.1,2724,9967.9,-1.78
2004Q2,Jutland,Villa,10220.6,3189,10220.6,0.0
2004Q3,Jutland,Villa,10189.0,1908,10220.6,-0.31
2004Q4,Jutland,Villa,10155.9,2608,10220.6,-0.63
2005Q1,Jutland,Villa,10370.0,2914,10370.0,0.0
2005Q2,Jutland,Villa,10792.2,3899,10792.2,0.0
2005Q3,Jutland,Villa,10985.7,3373,10985.7,0.0
2005Q4,Jutland,Villa,11468.5,3154,11468.5,0.0
2006Q1,Jutland,Villa,11388.1,3461,11468.5,-0.7
2006Q2,Jutland,Villa,11946.8,3718,11946.8,0.0
2006Q3,Jutland,Villa,12297.5,3212,12297.5,0.0
2006Q4,Jutland,Villa,12008.5,2691,12297.5,-2.35
2007Q1,Jutland,Villa,12872.3,3232,12872.3,0.0
2007Q2,Jutland,Villa,13230.9,3906,13230.9,0.0
2007Q3,Jutland,Villa,13277.0,3386,13277.0,0.0
2007Q4,Jutland,Villa,13138.0,3150,13277.0,-1.05
2008Q1,Jutland,Villa,12697.4,3008,13277.0,-4.37
2008Q2,Jutland,Villa,13069.3,3479,13277.0,-1.56
2008Q3,Jutland,Villa,13088.3,2710,13277.0,-1.42
2008Q4,Jutland,Villa,12239.9,1723,13277.0,-7.81
2009Q1,Jutland,Villa,12110.1,1802,13277.0,-8.79
2009Q2,Jutland,Villa,12371.2,2385,13277.0,-6.82
2009Q3,Jutland,Villa,12602.2,2209,13277.0,-5.08
2009Q4,Jutland,Villa,12317.9,2225,13277.0,-7.22
2010Q1,Jutland,Villa,12179.5,2490,13277.0,-8.27
2010Q2,Jutland,Villa,12320.3,3020,13277.0,-7.21
2010Q3,Jutland,Villa,11821.5,2808,13277.0,-10.96
2010Q4,Jutland,Villa,11214.5,2932,13277.0,-15.53
2011Q1,Jutland,Villa,12222.4,2198,13277.0,-7.94
2011Q2,Jutland,Villa,11952.1,2498,13277.0,-9.98
2011Q3,Jutland,Villa,11694.0,2249,13277.0,-11.92
2011Q4,Jutland,Villa,11446.4,2148,13277.0,-13.79
2012Q1,Jutland,Villa,11432.6,2206,13277.0,-13.89
2012Q2,Jutland,Villa,11437.2,2605,13277.0,-13.86
2012Q3,Jutland,Villa,11333.1,2605,13277.0,-14.64
2012Q4,Jutland,Villa,11318.2,2277,13277.0,-14.75
2013Q1,Jutland,Villa,11388.2,2086,13277.0,-14.23
2013Q2,Jutland,Villa,11750.0,2787,13277.0,-11.5
2013Q3,Jutland,Villa,11645.0,2543,13277.0,-12.29
2013Q4,Jutland,Villa,11608.5,2325,13277.0,-12.57
2014Q1,Jutland,Villa,11282.5,2362,13277.0,-15.02
2014Q2,Jutland,Villa,11602.1,2968,13277.0,-12.62
2014Q3,Jutland,Villa,11702.9,2837,13277.0,-11.86
