quarter,year,region,avg_sqm_price_real,n_transactions,yield_mortgage_bonds_pct,base_year_price,regional_index
1999Q1,1999,Jutland,14389.5,3004,6.6,13051.493840750445,110.25
1999Q2,1999,Jutland,14240.1,3705,6.6,13051.493840750445,109.11
1999Q3,1999,Jutland,12856.4,3274,6.6,13051.493840750445,98.51
1999Q4,1999,Jutland,13761.8,2709,6.6,13051.493840750445,105.44
2000Q1,2000,Jutland,15215.4,2979,7.3,13051.493840750445,116.58
2000Q2,2000,Jutland,14330.1,3497,7.3,13051.493840750445,109.8
2000Q3,2000,Jutland,12975.5,3062,7.3,13051.493840750445,99.42
2000Q4,2000,Jutland,13736.7,2755,7.3,13051.493840750445,105.25
2001Q1,2001,Jutland,14586.4,3092,7.1,13051.493840750445,111.76
2001Q2,2001,Jutland,14266.1,3610,7.0,13051.493840750445,109.31
2001Q3,2001,Jutland,13265.5,3206,7.0,13051.493840750445,101.64
2001Q4,2001,Jutland,15584.7,3257,7.1,13051.493840750445,119.41
2002Q1,2002,Jutland,13267.7,3113,6.7,13051.493840750445,101.66
2002Q2,2002,Jutland,14099.5,3999,6.7,13051.493840750445,108.03
2002Q3,2002,Jutland,13149.0,3545,6.7,13051.493840750445,100.75
2002Q4,2002,Jutland,13553.0,3133,6.7,13051.493840750445,103.84
2003Q1,2003,Jutland,12890.8,3365,5.1,13051.493840750445,98.77
2003Q2,2003,Jutland,12972.6,4040,5.1,13051.493840750445,99.4
2003Q3,2003,Jutland,12622.0,3982,5.1,13051.493840750445,96.71
2003Q4,2003,Jutland,16228.1,4014,5.1,13051.493840750445,124.34
2004Q1,2004,Jutland,13422.5,4260,5.3,13051.493840750445,102.84
2004Q2,2004,Jutland,13549.2,4904,5.3,13051.493840750445,103.81
2004Q3,2004,Jutland,13523.8,2934,5.3,13051.493840750445,103.62
2004Q4,2004,Jutland,13781.6,4035,5.3,13051.493840750445,105.59
2005Q1,2005,Jutland,15574.0,4675,4.4,13051.493840750445,119.33
2005Q2,2005,Jutland,15264.6,6130,4.4,13051.493840750445,116.96
2005Q3,2005,Jutland,15148.5,5252,4.4,13051.493840750445,116.07
2005Q4,2005,Jutland,16663.8,5018,4.4,13051.493840750445,127.68
2006Q1,2006,Jutland,16297.8,5369,5.1,13051.493840750445,124.87
